pincode,code,type,type_encode,rent_per_sqft,district,statename,latitude,longitude,urban,nearest_airport_km,nearest_airport_name,pincode_population,area_km2,population_density,male_population,female_population,state_gdp,state_population,pincode_gdp
144001,J02,Branch,1,26.25,JALANDHAR,PUNJAB,31.33113001,75.57707737,1.0,5.200010276319662,PAP Complex Heliport,155672.0,25.77,6040.8226620100895,82359.0,73313.0,7449.0,30357111.0,38.198652302585714
144401,J17,Branch,1,41.35,KAPURTHALA,PUNJAB,31.2529039,75.7614479,1.0,5.558450950838853,LPU Helipad,104741.0,110.74,945.8280657395702,54684.0,50057.0,7449.0,30357111.0,25.70125032648858
145001,J11,Branch,1,33.56,PATHANKOT,PUNJAB,32.33,75.8,0.0,8.173370402183119,Jharoli Army Heliport,184359.0,138.89,1327.374181006552,98581.0,85778.0,7449.0,30357111.0,45.237842000182425
147001,J18,Branch,1,42.54,PATIALA,PUNJAB,31.3246944,76.4062778,1.0,33.3582761841721,Bilaspur Helipad,59612.0,187.82,317.3889894579917,31520.0,28092.0,7449.0,30357111.0,14.627537778545529
151001,J08,Branch,1,29.56,BATHINDA,PUNJAB,30.204677,74.949001,0.0,6.59843973112352,Mehna Heliport,308604.0,463.74,665.4677189804631,164377.0,144227.0,7449.0,30357111.0,75.7249659231407
160055,J21,Branch,1,37.54,S.A.S Nagar,PUNJAB,30.73256,76.72081,1.0,9.26924559409276,Chandigarh AFS (IXC/VICG),77271.0,14.0,5519.357142857143,41542.0,35729.0,7449.0,30357111.0,18.96068697050915
171003,J14,Branch,1,92.55,SHIMLA,HIMACHAL PRADESH,31.104605,77.173424,0.0,1.740877355836692,Annandale Helipad,76978.0,42.87,1795.614648938652,40411.0,36567.0,2074.0,7512162.0,21.2525198471492
173205,J33,Branch,1,30.07,SOLAN,HIMACHAL PRADESH,30.904486,77.096736,0.0,19.90581262993848,Shimla Airport (SLV/VISM),73926.0,133.7,552.9244577412118,42405.0,31521.0,2074.0,7512162.0,20.409906495626693
173212,J39,Branch,1,42.0,SOLAN,HIMACHAL PRADESH,30.904486,77.096736,1.0,19.90581262993848,Shimla Airport (SLV/VISM),63216.0,121.75,519.2279260780288,33269.0,29947.0,2074.0,7512162.0,17.453029367577535
180001,N37,Branch,1,31.42,JAMMU,JAMMU AND KASHMIR,32.7360277,74.8428888,1.0,5.24348970832071,Jammu Airport (Satwari Airport) (IXJ/VIJU),47140.0,7.81,6035.851472471191,25139.0,22001.0,2411.0,14429216.0,7.876695449011229
190001,N38,Branch,1,66.225,SRINAGAR,JAMMU AND KASHMIR,34.0716944,74.8106111,1.0,4.403804935239918,Rainawari Barracks Helipad,40358.0,34.61,1166.0791678705575,21276.0,19082.0,2411.0,14429216.0,6.743480588273125
201002,U11,Hub,0,22.582,GHAZIABAD,UTTAR PRADESH,28.6741667,77.4470833,0.0,9.374903351079196,Hindon AFS (VIDX),397447.0,45.32,8769.792586054722,211563.0,185884.0,25479.0,225257355.0,44.95547820403023
