name,lat,lon
Jammu Airport (Satwari Airport) (IXJ/VIJU),32.68909836,74.83740234
Jamnagar AFS (JGA/VAJM),22.46549988,70.01260376
Jamnagar Helipad,22.44101334,70.0608139
Jeypore Airport (PYB/VEJP),18.87999916,82.55200195
Jhansi Air Base (VIJN),25.49042511,78.55921936
Jharoli Army Heliport,32.28936005,75.72753143
Jharsuguda Airport (VEJH),21.91349983,84.05039978
Jhunjhunu Airport,28.1067009,75.37560272
Jodhpur AFS (JDH/VIJO),26.25110054,73.04889679
Jorhat AFS (JRH/VEJT),26.73150063,94.17549896
Juhu Aerodrome (VAJJ),19.09810066,72.834198
Junagadh Airport (IXK/VAKS),21.31710052,70.270401
Kailashahar Airport (IXH/VEKR),24.30820084,92.00720215
Kakching Helipad,24.4818573,94.00567627
Kalaikunda AFS (VEDX),22.33950043,87.21450043
Kalka Airport,30.8245697,76.88365173
Kalpi AFS,30.27924538,76.99155426
Kalyan airstrip,19.1792202,73.13918304
Kalyanpur Airport,26.52039909,80.23290253
Kamalpur Airport (IXQ/VEKM),24.1332283,91.8102951
Kanchrapara Airfield,22.92293358,88.45993042
Kandla Airport (IXY/VAKE),23.11269951,70.10030365
kanha,22.09263802,80.59552765
Kannur Heliport,11.86257172,75.36647797
Kannur International Airport (CNN/VOKN),11.91757679,75.54431152
Kanpur Airport (KNU/VIKA),26.4409008,80.36438751
Kanpur Helipad,26.47945786,80.35355377
Kapurthala Helipad,31.40854073,75.40468597
Karad Airport,17.28590012,74.15809631
Kargil Airport,34.52429962,76.15589905
Karnal Airport,29.71482658,77.03728485
Karwar Naval Base Heliport,14.76673317,74.15504456
Kathanian Airfield,31.64707184,74.75369263
Katra Heliport,32.99021912,74.94796753
Kavaratti Helipad,10.54166794,72.61604309
Kayathar Airstrip,8.97138882,77.82062531
Khajuraho Airport (HJR/VAKJ),24.81719971,79.91860199
Khanabal Helipad,33.74367142,75.12545013
Khandwa Airport,21.8571167,76.33695221
Khargon Govt. Airstrip,21.81002998,75.55443573
Khowai Airport (IXN/VEKW),24.06189919,91.60389709
Kishangarh Airport,26.59167671,74.81446075
Kohima Helipad,25.66306686,94.11392975
Koirengei Airstrip,24.87245941,93.92568207
Kolhapur Airport (KLH/VAKP),16.66469955,74.28939819
Koppal Aerodrome (VOKP),15.35910034,76.21929932
Korba Airport,22.4141674,82.71944427
Kota Airport (KTU/VIKO),25.16020012,75.84559631
Kota Helipad,25.19559669,75.86973572
Kottayam Helipad,9.59106731,76.53358459
Kovilpatti Airport,9.15385818,77.82108307
Kozhikode International Airport (CCJ/VOCL),11.13638401,75.9536438
Kumbhirgram AFS (IXS/VEKU),24.91290092,92.97869873
Kunjali Helipad,18.89527321,72.80849457
Kurnool Airport,15.71524811,78.17610168
Kushinagar Airfield,26.77684975,83.88861847
Laitkor Nonglum Helipad,25.51215172,91.88109589
Lakhimpur Kheri Airport,28.46901703,80.57215118
Lakhimpur Police Helipad,27.94535255,80.78958893
Lalitpur Airport (VILP),24.71699905,78.41699982
Latur Airport (LTU/VALT),18.41150093,76.46469879
Lebong Helipad,27.05908394,88.27773285
Ledo Airfield,27.30249977,95.73722076
Leh AFS (IXL/VILH),34.13589859,77.54650116
Leh Helipad,34.12866974,77.53653717
Leh Heliport,34.12700653,77.5556488
Lengpui Airport,23.83982658,92.61985779
Lilabari Airport (IXI/VELR),27.2954998,94.09760284
Lohegaon AFS (PNQ/VAPO),18.58250046,73.91944122
Lokpriya Gopinath Bordoloi International Airport (GAU/VEGT),26.10610008,91.58589935
LPU Helipad,31.25426102,75.7029953
Lucknow Helipad,26.81726074,80.93064117
Ludhiana Airport (LUH/VILD),30.85470009,75.95259857
Lunglei Helipad,22.86838341,92.76329803
Machuka Advanced Landing Ground,28.60245895,94.12613678
Madhubani Airport,26.32916641,86.05999756
Madurai Airport (IXM/VOMD),9.83450985,78.09339905
Mahalaxmi Race Course Helipad,18.98203278,72.82156372
Maharajpur AFS (GWL/VIGR),26.29330063,78.22779846
Malda Airport (LDA/VEMH),25.01044655,88.12570953
Manauri AFS,25.47678375,81.67172241
Mandore AFS,26.34086227,73.01368713
Mangalore International Airport (IXE/VOML),12.96166706,74.89111328
Mathura Heliport,27.4642334,77.68241882
Meerut Cantonment Helipad,29.01521111,77.7179718
Meerut Helipad,28.98570251,77.71851349
Meerut Sw Airport,28.9048996,77.6772995
Mehna Heliport,30.23380089,75.00883484
Mehsana Airfield,23.60112381,72.37393188
Memaura Helipad,26.66161156,80.86264038
Minicoy Helipad,8.27363014,73.02230072
Missamari AFS,26.81834221,92.599617
Mithapur Airfield,22.41187477,68.99316406
Moradabad Circuit House Helipad,28.83101463,78.73262024
Muirpur Airport,24.12520027,83.04060364
Mulshi Helipad,18.51736069,73.51637268
Mumbai - Chhatrapati Shivaji International Airport (BOM/VABB),19.08876801,72.86808777
Mumbai University Helipad,19.06700516,72.85693359
Muzaffarnagar Helipad,29.47555542,77.70635223
Muzzafarpur Airport (MZU/VEMZ),26.1184063,85.31214905
Mysore Airport (MYQ/VOMY),12.23188496,76.65673828
Nadirgul Runway,17.30606651,78.56048584
Nagar Navy Helipad,18.89829636,72.81489563
Nagarjuna Sagar Airport (VONS),16.54162979,79.31638336
Nagaur Airport,27.20829964,73.71140289
Nagpur International Airport (NAG/VANP),21.09250069,79.04722595
Nagrota AHP,32.79384232,74.91026306
Nal Barracks Heliport,28.04133606,73.3527832
Nal-Bikaner AFS (BKB/VIBK),28.07060051,73.2071991
Namchi Helipad,27.15673256,88.32206726
Nanded Airport (NDC/VAND),19.18143463,77.32558441
Nawapara Airport (VENP),20.87000084,82.51959991
New Delhi International Airport (DEL/VIDP),28.56497955,77.11029816
Neyveli Airport (NVY),11.61295605,79.5273819
Nimach Airport,24.43079948,74.86779785
