pincode,district,statename,latitude,longitude,urban,nearest_airport_km,nearest_airport_name
524322,SPSR NELLORE,ANDHRA PRADESH,14.5766880,79.6284540,1,92.3810818082118,Cuddapah Airport (CDP/VOCP)
524346,SPSR NELLORE,ANDHRA PRADESH,14.3494110,79.5097550,0,79.79900647537532,Tirupati Airport (TIR/VOTP)
524305,SPSR NELLORE,ANDHRA PRADESH,14.5198490,79.8898820,1,105.51232515065716,Tirupati Airport (TIR/VOTP)
524003,SPSR NELLORE,ANDHRA PRADESH,14.4311030,80.0003870,0,101.57231320457161,Tirupati Airport (TIR/VOTP)
524306,SPSR NELLORE,ANDHRA PRADESH,79.8600000,14.5300000,0,5600.445658026192,Siachen Glacier AFS
524307,SPSR NELLORE,ANDHRA PRADESH,14.6555900,79.5217670,0,82.1695540820279,Cuddapah Airport (CDP/VOCP)
524316,SPSR NELLORE,ANDHRA PRADESH,14.7972800,79.2111170,0,56.834941910553475,Cuddapah Airport (CDP/VOCP)
524137,SPSR NELLORE,ANDHRA PRADESH,14.5115630,80.0150640,0,110.19827440434628,Tirupati Airport (TIR/VOTP)
524312,SPSR NELLORE,ANDHRA PRADESH,14.7020450,79.3014810,0,60.68992475147755,Cuddapah Airport (CDP/VOCP)
524344,SPSR NELLORE,ANDHRA PRADESH,14.2886010,80.1248480,0,96.23225145638095,Tirupati Airport (TIR/VOTP)
524002,SPSR NELLORE,ANDHRA PRADESH,14.4542800,80.0381230,0,105.82541977171536,Tirupati Airport (TIR/VOTP)
524311,SPSR NELLORE,ANDHRA PRADESH,14.3910250,80.1240150,0,105.06709014110658,Tirupati Airport (TIR/VOTP)
524318,SPSR NELLORE,ANDHRA PRADESH,14.5955310,80.1107530,0,123.3351465975855,Tirupati Airport (TIR/VOTP)
524319,SPSR NELLORE,ANDHRA PRADESH,14.6040590,79.9573280,0,116.89465403679301,Tirupati Airport (TIR/VOTP)
524347,SPSR NELLORE,ANDHRA PRADESH,14.364043,80.114941,0,102.08198099241253,Tirupati Airport (TIR/VOTP)
523190,Bapatla,ANDHRA PRADESH,15.8744050,80.2123830,0,30.617581823924287,Bapatla Helipad
523165,Bapatla,ANDHRA PRADESH,15.8262060,80.3449830,0,16.426154710248987,Bapatla Helipad
523184,Bapatla,ANDHRA PRADESH,15.7119800,80.2826100,0,27.378599368075637,Bapatla Helipad
523169,Bapatla,ANDHRA PRADESH,15.9909110,80.2966180,0,26.807704370921105,Bapatla Helipad
523157,Bapatla,ANDHRA PRADESH,15.8194890,80.3659100,0,14.347277234724661,Bapatla Helipad
523185,PRAKASAM,ANDHRA PRADESH,15.7913450,80.2440980,0,27.748058017310985,Bapatla Helipad
523187,Bapatla,ANDHRA PRADESH,15.7924190,80.3182020,0,20.053675227518607,Bapatla Helipad
523271,PRAKASAM,ANDHRA PRADESH,15.3665910,79.7224960,0,56.83592328449707,Dunakonda Airport (VODK)
523270,PRAKASAM,ANDHRA PRADESH,15.4444970,79.7795220,0,52.618164286157935,Dunakonda Airport (VODK)
523114,PRAKASAM,ANDHRA PRADESH,15.0872480,79.7220670,0,85.7712883611277,Dunakonda Airport (VODK)
523115,PRAKASAM,ANDHRA PRADESH,15.0297480,79.8220000,0,95.4008335320703,Dunakonda Airport (VODK)
523109,PRAKASAM,ANDHRA PRADESH,15.2670040,79.6967470,0,65.94791306520445,Dunakonda Airport (VODK)
523101,PRAKASAM,ANDHRA PRADESH,15.3047790,80.0227580,0,78.77756548349281,Bapatla Helipad
523274,PRAKASAM,ANDHRA PRADESH,15.3614390,80.0128440,0,74.80185933263358,Bapatla Helipad
523292,PRAKASAM,ANDHRA PRADESH,15.1326370,79.9566250,0,91.94812104184537,Dunakonda Airport (VODK)
523279,PRAKASAM,ANDHRA PRADESH,15.3761910,79.9314940,0,68.95206339409476,Dunakonda Airport (VODK)
523116,PRAKASAM,ANDHRA PRADESH,15.1486270,79.7078880,0,78.80210452458674,Dunakonda Airport (VODK)
523272,PRAKASAM,ANDHRA PRADESH,15.420436,79.992000000000004,0,70.33409621657084,Dunakonda Airport (VODK)
523110,PRAKASAM,ANDHRA PRADESH,15.0458080,79.5420800,0,86.78855904451257,Dunakonda Airport (VODK)
523112,PRAKASAM,ANDHRA PRADESH,15.1062670,79.5783690,0,80.46472485404891,Dunakonda Airport (VODK)
523247,PRAKASAM,ANDHRA PRADESH,15.7857290,79.7115440,1,24.442290216508113,Dunakonda Airport (VODK)
523246,PRAKASAM,ANDHRA PRADESH,15.5805040,79.4379670,0,27.62605230338101,Dunakonda Airport (VODK)
523227,PRAKASAM,ANDHRA PRADESH,15.4341140,79.4050940,0,44.277742704147585,Dunakonda Airport (VODK)
523241,PRAKASAM,ANDHRA PRADESH,15.6358850,79.4102240,0,22.51121265870902,Dunakonda Airport (VODK)
523304,PRAKASAM,ANDHRA PRADESH,15.8861790,79.6427590,0,18.05015820258834,Dunakonda Airport (VODK)
523265,PRAKASAM,ANDHRA PRADESH,15.4024120,79.5074330,0,46.98520447624301,Dunakonda Airport (VODK)
523228,PRAKASAM,ANDHRA PRADESH,15.468612,79.358917000000005,0,41.869101160718486,Dunakonda Airport (VODK)
523111,PRAKASAM,ANDHRA PRADESH,15.3222260,79.6563550,0,58.73185645241248,Dunakonda Airport (VODK)
523108,PRAKASAM,ANDHRA PRADESH,15.2265930,79.3996870,0,67.13273708811906,Dunakonda Airport (VODK)
523245,PRAKASAM,ANDHRA PRADESH,15.5250620,79.5231630,0,33.52293679554176,Dunakonda Airport (VODK)
523252,PRAKASAM,ANDHRA PRADESH,15.7473710,79.8413720,0,38.90998696158723,Dunakonda Airport (VODK)
523230,PRAKASAM,ANDHRA PRADESH,15.3992590,79.4952420,1,47.29207375492787,Dunakonda Airport (VODK)
523253,PRAKASAM,ANDHRA PRADESH,15.6592800,79.7521080,0,33.830266779025116,Dunakonda Airport (VODK)
523224,PRAKASAM,ANDHRA PRADESH,15.3148380,79.2780480,0,60.917125837692105,Dunakonda Airport (VODK)
523201,Bapatla,ANDHRA PRADESH,16.0254860,79.9443150,1,53.79706382288175,Dunakonda Airport (VODK)
523226,PRAKASAM,ANDHRA PRADESH,15.6065060,79.8975800,1,50.219459988826856,Dunakonda Airport (VODK)
523280,PRAKASAM,ANDHRA PRADESH,15.4031640,80.1302430,0,63.00999846887464,Bapatla Helipad
523214,Bapatla,ANDHRA PRADESH,15.8212310,80.1420020,0,38.09069129304388,Bapatla Helipad
506367,SIDDIPET,TELANGANA,17.9396041,79.0500485,0,58.48313768638128,Warangal Airport (WGC/VOWA)
523303,Bapatla,ANDHRA PRADESH,16.0144170,79.9996890,0,56.38160980893445,Bapatla Helipad
523286,PRAKASAM,ANDHRA PRADESH,15.4894450,80.1903030,0,51.50355316377526,Bapatla Helipad
523211,PRAKASAM,ANDHRA PRADESH,15.6560520,80.0100800,0,56.24777838978914,Bapatla Helipad
523301,Bapatla,ANDHRA PRADESH,15.9768640,80.0506980,0,49.90076697611706,Bapatla Helipad
523183,PRAKASAM,ANDHRA PRADESH,15.6903830,80.1117283,0,44.732452464093214,Bapatla Helipad
523213,Bapatla,ANDHRA PRADESH,15.9362110,79.9570410,0,51.81781293156959,Dunakonda Airport (VODK)
