pincode,district,statename,latitude,longitude,urban,nearest_airport_km,nearest_airport_name,nearest_railway_km,nearest_railway_name,num_hospitals,pincode_population,area_km2,population_density,male_population,female_population,state_gdp,state_population,pincode_gdp,state_civil_cases,state_criminal_cases
524224,SPSR NELLORE,ANDHRA PRADESH,14.829185,79.737884,0,109.64639544015702,Cuddapah Airport (CDP/VOCP),26.38890694762222,S VENKTESWRPALM,0,23878.0,196.08,121.77682578539373,12169.0,11709.0,14397.0,40194656.0,8.552668444282741,288.0,277.0
524201,SPSR NELLORE,ANDHRA PRADESH,14.87972,79.983611,1,117.79407754926564,Dunakonda Airport (VODK),4.064339244151065,KAVALI,6,194693.0,662.68,293.7964024868715,98044.0,96649.0,14397.0,40194656.0,69.73551710456235,288.0,277.0
524239,SPSR NELLORE,ANDHRA PRADESH,14.991341,79.682131,0,94.98146648914285,Dunakonda Airport (VODK),33.938810079855706,KAVALI,0,13756.0,139.66,98.49634827438064,6995.0,6761.0,14397.0,40194656.0,4.9271508132822435,288.0,277.0
524230,SPSR NELLORE,ANDHRA PRADESH,14.777705,79.31568,0,65.45701096711964,Cuddapah Airport (CDP/VOCP),53.601797822737254,ONTIMITTA,0,40676.0,405.53,100.30330678371514,20786.0,19890.0,14397.0,40194656.0,14.569408729359447,288.0,277.0
524310,SPSR NELLORE,ANDHRA PRADESH,15.021381,79.174605,0,71.24021901084468,Cuddapah Airport (CDP/VOCP),47.91014915491892,GIDDALUR,0,20132.0,306.02,65.78654989869943,10240.0,9892.0,14397.0,40194656.0,7.2109188843412415,288.0,277.0
524225,SPSR NELLORE,ANDHRA PRADESH,14.756319,79.816367,0,115.52002102897754,Cuddapah Airport (CDP/VOCP),17.984610572309926,BITRAGUNTA,0,21691.0,174.37,124.39639846303837,11032.0,10659.0,14397.0,40194656.0,7.769324534087317,288.0,277.0
524227,SPSR NELLORE,ANDHRA PRADESH,15.052955,79.423987,0,86.05309382240193,Dunakonda Airport (VODK),60.61688998977643,GUDIMETTA,0,13924.0,145.14,95.9349593495935,7101.0,6823.0,14397.0,40194656.0,4.987325379771878,288.0,277.0
524228,SPSR NELLORE,ANDHRA PRADESH,14.872543,79.608715,0,98.44827920586536,Cuddapah Airport (CDP/VOCP),40.81377395914675,S VENKTESWRPALM,0,45830.0,362.79,126.32652498690702,23497.0,22333.0,14397.0,40194656.0,16.415478465595026,288.0,277.0
524315,SPSR NELLORE,ANDHRA PRADESH,14.685327,80.054889,1,129.4121284079595,Tirupati Airport (TIR/VOTP),7.61761685183078,ALLURU ROAD,1,83995.0,270.45,310.57496764651506,41914.0,42081.0,14397.0,40194656.0,30.08549233510047,288.0,277.0
524302,SPSR NELLORE,ANDHRA PRADESH,14.54602,79.284577,0,55.222203465234074,Cuddapah Airport (CDP/VOCP),33.38369399185535,MANTAPAMPALLE,0,64236.0,567.01,113.2890072485494,32860.0,31376.0,14397.0,40194656.0,23.00817531564395,288.0,277.0
