pincode,code,type,type_encode,rent_per_sqft
380060,A36,Branch,1,55.71
382028,A38,Branch,1,37.5
382170,A50,Branch,1,12.48
382330,A01,Hub,0,15.805
384002,A18,Branch,1,12.78
388001,A44,Branch,1,38.91
390016,A02,Branch,1,22.98
390022,A17,Branch,1,42.14
393002,A07,Branch,1,13.78
394325,A04,Hub,0,23.5
395007,A46,Branch,1,48.0
396195,A05,Branch,1,20.09
400001,M02,Branch,1,233.33
400013,M01,Branch,1,165.45
400043,M45,Branch,1,154.35
400050,M68,Branch,1,280.0
400058,M78,Branch,1,176.4
400068,M61,Branch,1,100.66999999999999
400069,M48,Branch,1,161.04000000000002
400072,M10,Hub,0,146.45
400075,M06,Branch,1,223.86
400078,M50,Branch,1,64.52
400093,M04,Branch,1,206.62
400602,M07,Branch,1,111.91499999999999
400701,M66,Branch,1,85.52
400706,M08,Branch,1,96.32
401208,M81,Hub,0,50.0
401208,M46,Branch,1,71.7
401501,M57,Branch,1,27.99
402107,M63,Branch,1,66.67
403005,B32,Branch,1,36.75
403601,B51,Branch,1,39.19
403722,B65,Branch,1,20.3
410209,M39,Branch,1,80.82
410501,P50,Branch,1,19.85
410507,P73,Branch,1,28.36
411005,P12,Branch,1,69.46
411015,P01,Hub,0,30.39
411037,P15,Branch,1,40.26
411044,P04,Branch,1,26.59
411058,P22,Branch,1,190.465
412207,P24,Branch,1,23.1
412209,P65,Branch,1,83.08
412801,P57,Branch,1,15.32
413003,P06,Branch,1,22.47
413512,P16,Branch,1,74.33
416004,P11,Branch,1,15.75
416416,P10,Branch,1,18.74
421301,M47,Branch,1,121.32
421302,M33,Hub,0,17.64
422010,P19,Branch,1,26.78
424006,P38,Branch,1,17.37
431001,P09,Branch,1,50.0
431136,P56,Branch,1,31.65
440012,R32,Branch,1,74.14333333333333
440025,R01,Hub,0,40.0
440028,R16,Hub,0,12.13
444004,R04,Branch,1,23.7
444601,R12,Branch,1,20.66
452001,I42,Branch,1,47.13
452010,I46,Hub,0,17.67
453771,I24,Hub,0,18.19
454774,I03,Branch,1,32.82
455001,I20,Branch,1,27.01
460001,I39,Branch,1,29.78
462011,I43,Branch,1,75.0
462023,I02,Branch,1,20.95
470002,I34,Branch,1,21.79
474002,U07,Branch,1,38.835
482002,I08,Branch,1,18.9
484001,I30,Branch,1,34.05
486001,I19,Branch,1,24.0
490001,R08,Branch,1,38.88
492001,R06,Hub,0,15.825
495004,R07,Branch,1,23.53
495450,R10,Branch,1,128.57
496001,R19,Branch,1,65.11
497001,R29,Branch,1,23.93
500008,H71,Branch,1,52.89
500009,H74,Branch,1,44.73
500011,H07,Branch,1,57.44
500014,H66,Hub,0,30.35
500034,H08,Branch,1,77.18
500047,H48,Branch,1,47.87
500049,H80,Branch,1,33.67
500068,H79,Branch,1,19.1
500072,H09,Branch,1,35.68
500079,H11,Branch,1,21.0
500081,H70,Branch,1,87.38499999999999
501218,H13,Hub,0,14.38
503002,H53,Branch,1,26.25
507003,H91,Branch,1,121.645
508213,H92,Branch,1,18.72
515201,V24,Branch,1,17.64
516001,V13,Branch,1,35.0
517001,V32,Branch,1,33.28
517520,V01,Branch,1,12.43
517646,C60,Branch,1,58.56
518001,V04,Branch,1,19.95
518502,V22,Branch,1,43.64
521107,V06,Hub,0,25.16
522003,V08,Branch,1,19.27
523001,V10,Branch,1,18.19
524004,V09,Branch,1,28.8
530007,V02,Hub,0,49.29
530026,V16,Branch,1,33.14
532001,V12,Branch,1,19.69
533003,V15,Branch,1,19.52
533296,V05,Branch,1,22.05
535006,V11,Branch,1,24.34
560043,B11,Branch,1,44.1
560044,B09,Branch,1,38.29
560048,B35,Branch,1,31.43
560058,B08,Branch,1,41.11
560064,B10,Hub,0,15.62
560064,B26,Branch,1,32.08
560068,B06,Branch,1,21.43
560071,B58,Branch,1,83.2
560078,B59,Branch,1,62.57
562107,B113,Hub,0,19.18
562114,B68,Branch,1,26.28
562123,B36,Hub,0,32.806666666666665
570022,B02,Branch,1,46.730000000000004
572101,B43,Branch,1,27.81
573201,B18,Branch,1,20.35
577003,B50,Branch,1,10.94
577101,B64,Branch,1,15.95
577201,B38,Branch,1,23.17
577501,B13,Branch,1,29.62
580021,B03,Branch,1,33.28
581402,B39,Branch,1,53.68
583103,B47,Branch,1,36.47
585104,B05,Branch,1,11.55
587101,B41,Branch,1,27.73
590001,B16,Branch,1,55.28
600001,C15,Branch,1,67.49
600018,C36,Branch,1,66.55
600029,C14,Branch,1,99.0
600032,C13,Branch,1,85.0
600045,C30,Branch,1,57.88
600050,C37,Branch,1,101.05
600077,C20,Hub,0,20.76
600100,C47,Branch,1,31.625
600110,C48,Branch,1,32.18
600116,C38,Branch,1,37.89
601201,C73,Branch,1,31.39
602105,C53,Branch,1,38.59
603002,C57,Branch,1,57.88
603203,C50,Branch,1,74.42
605009,C02,Branch,1,17.22
605602,C22,Branch,1,29.28
613501,E23,Branch,1,25.85
620001,E06,Branch,1,18.19
624002,E07,Branch,1,13.7
625010,E08,Branch,1,24.655
625531,E24,Branch,1,14.85
626123,E20,Branch,1,42.35
627003,E09,Branch,1,41.91
628002,E10,Branch,1,32.54
629001,E11,Branch,1,25.78
631501,C59,Branch,1,22.58
632004,C08,Branch,1,77.83
635001,E16,Branch,1,32.31
635126,B27,Branch,1,18.02
636005,E04,Hub,0,18.32
638011,E03,Branch,1,12.0
639002,E05,Branch,1,31.74
641006,E21,Branch,1,15.53
641037,E01,Hub,0,26.34
641062,E13,Hub,0,14.0
641602,E02,Branch,1,36.89
670001,O09,Branch,1,19.93
670641,O89,Branch,1,26.83
671531,O60,Branch,1,24.31
673017,O02,Branch,1,28.27
673121,O25,Branch,1,34.69
676301,O12,Branch,1,21.3
678701,O03,Branch,1,23.43
680004,O04,Branch,1,27.56
682018,O23,Branch,1,25.084999999999997
682034,O06,Hub,0,25.92
685561,O21,Branch,1,20.56
686001,O07,Branch,1,23.01
686101,O17,Branch,1,61.83
686661,O88,Branch,1,30.52
688007,O01,Branch,1,11.825
688524,O14,Branch,1,53.72
689101,O11,Branch,1,17.56
691002,O08,Branch,1,22.49
695002,O05,Branch,1,36.47
695316,O90,Branch,1,22.22
700004,K04,Branch,1,37.06
700014,K01,Branch,1,222.72
700016,K88,Branch,1,91.96
700026,K39,Branch,1,108.21
700084,K75,Branch,1,32.27
700091,K68,Branch,1,47.25
700105,K26,Branch,1,32.03
700109,K06,Branch,1,18.93
700136,K16,Hub,0,35.285714285714285
700143,K07,Branch,1,24.15
700145,K130,Branch,1,23.15
711106,K08,Branch,1,53.6
711409,K95,Hub,0,25.47
711409,K72,Branch,1,24.26
712203,K81,Branch,1,21.22
713104,K45,Branch,1,26.05
713201,K14,Branch,1,19.0
713305,K22,Branch,1,27.34
721137,K32,Branch,1,26.965
721305,K40,Branch,1,33.3
721657,K89,Branch,1,35.27
731204,K85,Branch,1,40.86
732142,K23,Branch,1,27.92
734001,K15,Branch,1,22.825000000000003
734010,K66,Hub,0,14.93
734010,K129,Branch,1,15.44
734101,K84,Branch,1,22.67
736101,K79,Branch,1,14.82
736121,K104,Branch,1,13.42
737101,K51,Branch,1,50.0
737132,K82,Branch,1,35.27
741102,K03,Branch,1,19.29
741402,K54,Branch,1,19.92
742101,K37,Branch,1,21.44
744103,K56,Branch,1,26.84
751003,W21,Branch,1,39.54
751010,W52,Branch,1,29.96
752001,W15,Branch,1,22.795
752050,W40,Branch,1,13.21
753011,W10,Hub,0,27.21
754021,W02,Branch,1,18.88
754145,W44,Branch,1,23.43
755019,W05,Branch,1,12.22
756019,W06,Branch,1,28.85
756101,W14,Branch,1,24.36
759122,W09,Branch,1,19.8
760008,W04,Branch,1,28.0
761029,W54,Branch,1,21.0
764001,W22,Branch,1,21.59
765001,W08,Branch,1,10.24
767001,W23,Branch,1,16.54
768004,W07,Branch,1,19.13
768201,W12,Branch,1,22.55
769004,W03,Branch,1,13.0
800001,T32,Branch,1,66.23
800009,T01,Hub,0,27.56
812001,T06,Branch,1,18.19
814101,T86,Branch,1,11.71
814133,T87,Branch,1,11.71
821109,T88,Branch,1,12.25
823001,T07,Branch,1,40.0
826001,T04,Branch,1,20.67
827013,T09,Branch,1,26.05
831018,T03,Branch,1,27.82
834001,T14,Branch,1,40.29
834010,T02,Hub,0,21.06
842002,T05,Branch,1,29.42
845401,T36,Branch,1,25.89
846004,T26,Branch,1,32.87
854301,T13,Branch,1,15.31
